Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
murugesann/executivefunction-infogain-wordle-bench,gpt-5.4-mini-2026-03-17,evaluate_cognitive_flexibility,1,"2026-04-26 06:30:52",0.3256065269266412,,,
murugesann/executivefunction-infogain-wordle-bench,qwen3-235b-a22b-instruct-2507,,1,"2026-04-21 11:32:23",0.3838160982649478,,,
murugesann/executivefunction-infogain-wordle-bench,qwen3-235b-a22b-instruct-2507,evaluate_wordle_single_turn,1,"2026-04-16 03:41:01",0.34191136643382475,,,
murugesann/executivefunction-infogain-wordle-bench,qwen3-235b-a22b-instruct-2507,evaluate_wordle_single_turn_v2,1,,,,,
murugesann/executivefunction-infogain-wordle-bench,qwen3-235b-a22b-instruct-2507,evaluate_wordle_multi_turn,2,"2026-04-21 11:32:23",0.42572083009607087,,,
murugesann/executivefunction-infogain-wordle-bench,qwen3-235b-a22b-instruct-2507,evaluate_cognitive_flexibility,1,,,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-4b-it,,1,"2026-04-27 01:20:09",-0.16925820151697996,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-4b-it,evaluate_wordle_single_turn,1,,,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-4b-it,evaluate_wordle_single_turn_v2,1,,,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-4b-it,evaluate_wordle_multi_turn,2,,,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-4b-it,evaluate_cognitive_flexibility,1,"2026-04-27 01:20:09",-0.16925820151697996,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-12b-it,,1,"2026-04-27 01:19:45",-0.18183563872711334,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-12b-it,evaluate_wordle_single_turn,1,,,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-12b-it,evaluate_wordle_single_turn_v2,1,,,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-12b-it,evaluate_wordle_multi_turn,2,,,,,
murugesann/executivefunction-infogain-wordle-bench,gemma-3-12b-it,evaluate_cognitive_flexibility,1,"2026-04-27 01:19:45",-0.18183563872711334,,,
